id,name,sku,quantity,price,supplier_id,category,min_stock_level,created_at
107,Fruit Medley Juice,NB-7333,58,48.79,311,toys,64,03/01/2025
108,Nut Butter Cups,YK-1801,70,26.57,10,clothing,90,1/29/2025
109,Garden Tool Belt,RC-2603,117,16.18,305,toys,56,7/30/2025
110,Vegan Cheese,IZ-2717,34,6.83,51,clothing,74,01/12/2025
111,Organic Black Bean Burger,KY-3444,52,7.11,445,electronics,87,05/05/2025
112,Dog Collar,LP-2009,150,19.1,493,sports equipment,19,2/15/2025
113,Vegan Mayonnaise,JD-9112,114,23.47,45,beauty products,93,08/02/2025
114,Chili Con Carne Mix,YH-2732,182,40.75,371,electronics,54,12/17/2024
115,Sports Water Bottle with Infuser,VB-0297,63,5.74,285,sports equipment,20,1/21/2025
116,Ice Cream Maker,PA-4490,82,21.75,500,beauty products,59,6/14/2025
117,Buffalo Stilton Cheese,CE-8463,37,5.52,71,electronics,15,7/17/2025
118,Winter Insulated Jacket,ZX-4966,5,20.85,320,electronics,4,01/06/2025
119,Caramel Apple Chips,HE-1442,95,44.54,89,beauty products,9,07/05/2025
120,Fresh Lemons,JZ-1705,78,5.64,500,electronics,66,9/26/2025
121,USB Flash Drive,YM-7422,140,13,370,kitchen appliances,90,11/08/2025
122,Chopping Board,RW-7571,116,46.39,132,toys,83,4/26/2025
123,Garlic Herb Seasoning,CY-2594,164,47.34,384,kitchen appliances,21,06/07/2025
124,Cinnamon Roll Dough,HS-0905,70,27.97,370,sports equipment,15,7/25/2025
125,Folding Table,ZL-5221,58,8.95,152,electronics,37,06/08/2025
126,Black Bean Spaghetti,DQ-7292,55,31.6,183,kitchen appliances,7,10/25/2025
127,Black Bean Soup,NT-5580,91,7.82,2,electronics,82,4/20/2025
128,Energy Protein Bars,VD-9101,53,17.85,24,sports equipment,15,11/12/2025
129,Non-Toxic Concrete Sealer,EI-9883,109,38.91,109,electronics,72,3/28/2025
130,Peach Mango Smoothie,SC-4953,59,15.96,412,sports equipment,96,2/21/2025
131,Smart Doorbell,EN-8209,195,45.11,149,clothing,90,4/18/2025
132,Whole Wheat Pasta,TT-1096,108,26.25,332,clothing,39,1/13/2025
133,Silicone Baking Mats,LN-9223,188,1.09,129,beauty products,97,04/03/2025
134,Plaid Flannel Shirt,AA-2542,67,24.77,94,clothing,57,02/10/2025
135,Digital Photo Frame,EB-1520,26,46.07,330,home decor,72,1/18/2025
136,Skincare Fridge,MP-3402,109,3.98,406,kitchen appliances,75,5/18/2025
137,Smoked Paprika,UF-8467,163,5.83,84,sports equipment,84,10/28/2025
138,Curried Lentil Salad,NR-0206,65,47.75,496,sports equipment,10,05/10/2025
139,Electric Heat Pad,RU-7082,61,14.61,314,clothing,65,5/30/2025
140,Leather Crossbody Bag,WR-0417,144,16.08,387,toys,19,11/24/2024
141,Spicy Tuna Salad,LG-4214,96,42.01,412,kitchen appliances,39,6/27/2025
142,Animal Paw Print Soap Dispenser,BN-3786,77,14.22,140,electronics,25,10/12/2025
143,Over-Ear Headphones,IO-1807,108,22.27,399,sports equipment,8,11/17/2025
144,Crew Neck Sweater,LN-1337,150,4.54,324,outdoor gear,42,01/06/2025
145,Coconut Water,FV-3000,192,2.45,1,kitchen appliances,86,6/13/2025
146,Maple Breakfast Sausage,EG-6375,107,12.33,351,sports equipment,78,9/22/2025
147,Vacuum Sealer Machine,JF-6612,95,41.08,160,home decor,69,1/15/2025
148,Nordic Berry Smoothie,JG-6600,18,42.59,473,electronics,71,07/03/2025
149,Crew Neck Sweater,WJ-1724,130,40.4,6,kitchen appliances,72,6/13/2025
150,Spicy Vegetable Sushi Rolls,QA-4440,76,5.75,374,electronics,84,11/30/2024
151,Savory Italian Herbs,QU-2077,20,26.58,252,electronics,79,3/28/2025
152,Outdoor String Lights,VM-8350,138,43.85,280,kitchen appliances,76,05/10/2025
153,Almond Crunch Granola Bars,PB-6085,54,26.13,403,outdoor gear,8,03/03/2025
154,Under Desk Footrest,BK-6082,49,29.9,467,home decor,88,2/28/2025
155,Grass Fed Beef Patties,ZA-3571,197,36.43,229,electronics,47,8/21/2025
156,Organic Quinoa,JS-0156,156,25.29,226,electronics,41,9/30/2025
157,Organic Coconut Flakes,GF-0549,108,29.25,60,outdoor gear,83,04/12/2025
158,Chopping Board,FF-7866,96,46.82,308,electronics,60,8/13/2025
159,Yoga Strap,VN-0676,38,34.79,29,beauty products,46,7/29/2025
160,Beef Sirloin Steak,KS-8507,131,39.27,405,outdoor gear,64,10/22/2025
161,Portable Refrigerator Freezer,OK-8496,4,6.05,337,beauty products,82,8/25/2025
162,Wireless Security System,TO-9954,60,34.27,56,outdoor gear,92,01/06/2025
163,Dark Chocolate Almond Butter Cups,DH-1535,11,38.21,261,home decor,30,9/13/2025
164,Sour Cream,FF-6369,45,34.68,313,electronics,39,9/17/2025
165,Almond Flour Brownies,CJ-9848,31,39.99,150,home decor,29,9/28/2025
166,Compost Bin,NT-4128,29,44.99,302,home decor,80,10/12/2025
167,Gluten-Free Pancake Mix,NV-8118,183,11.77,278,home decor,85,11/09/2025
168,Gardening Fairy Figurines,EG-7760,31,12.76,192,home decor,73,9/23/2025
169,Cinnamon Apple Sauce,UT-4785,37,3.81,216,kitchen appliances,59,4/14/2025
170,Garlic Breadsticks,JC-1028,156,2.41,497,kitchen appliances,72,10/31/2025
171,Car Trash Can,DU-4549,96,16.76,106,toys,44,05/02/2025
172,Energy Bites,CJ-2580,158,42.44,217,electronics,65,4/25/2025
173,LED Under Cabinet Lighting,XV-3670,128,9.67,155,outdoor gear,35,03/06/2025
174,Sporty Slide Sandals,DC-7401,199,33.74,455,sports equipment,87,4/18/2025
175,Free-Range Eggs,TQ-8794,26,1.87,338,sports equipment,71,4/14/2025
176,Vegetable Medley,RU-3959,157,35.04,322,clothing,8,3/28/2025
177,Jennifer's Amazing Lip Balm Kit,DR-9837,15,13.28,25,kitchen appliances,2,05/08/2025
178,Microwave Popcorn Maker,GJ-8198,175,37.27,378,electronics,86,8/20/2025
179,Key Finder,UB-4389,14,9.29,9,beauty products,5,10/07/2025
180,Shoe Organizer,LB-2572,185,40.08,413,home decor,85,08/10/2025
181,Sea Salt Caramel Brownie,CT-6514,90,41.08,154,kitchen appliances,12,2/22/2025
182,Eco-Friendly Cleaning Cloths,MD-8532,179,21.39,271,sports equipment,53,11/20/2025
183,Leek and Potato Soup,WO-1013,163,43.44,108,electronics,92,3/23/2025
184,Bamboo Memory Foam Pillow,QU-3744,9,46.09,334,home decor,58,1/15/2025
185,Sea Salt Caramel Popcorn,ZG-5537,112,12.94,156,outdoor gear,59,04/07/2025
186,Organic Vanilla Bean Ice Cream,KD-8445,135,46,388,kitchen appliances,36,2/21/2025
187,Luxe Velvet Blazer,TA-3410,54,21.43,330,home decor,70,8/31/2025
188,Pet Hair Removal Brush,SL-4482,130,8.15,216,toys,90,03/09/2025
189,Inspirational Wall Art,BQ-1139,46,18.12,278,toys,74,6/17/2025
190,Peanut Butter Cookies,FE-6488,152,12.5,50,sports equipment,45,12/16/2024
191,Smart Scale,WS-6785,8,16.54,284,sports equipment,37,07/03/2025
192,Floral Wrap Top,OP-2115,145,42.84,366,kitchen appliances,78,11/30/2024
193,Blue Denim Jeans,OA-7521,88,41.61,245,outdoor gear,91,11/24/2024
194,Creamy Spinach Dip,PB-2186,93,44.76,219,toys,86,06/01/2025
195,Mediterranean Couscous,IY-6465,146,13.41,292,outdoor gear,82,4/24/2025
196,Grilled Vegetable Medley,BN-3969,22,25.01,417,kitchen appliances,77,3/22/2025
197,Reusable Snack Bags,SQ-7583,132,27,434,kitchen appliances,80,08/04/2025
198,Low-Fat Cottage Cheese,HO-6217,119,28.51,169,clothing,85,8/14/2025
199,Tuna Fish (canned),CZ-1940,75,41.72,176,kitchen appliances,94,2/15/2025
200,Wireless Charger,FR-1779,97,1.23,305,toys,49,11/20/2025
